review,recommended,helpful_or_not,playtime_at_review
Requires you to make a battle.net account which requires a phone number and then proceeds to not accept my phone number. Also maxes out CPU when on Linux.,False,1,39
It's uh.... a game. It really is. Fun! Fun sometimes. Good character design. But it just... some bad updates. yeah.,True,0,37255
nice,True,0,2031
decent game its pretty addictive so watch out,True,0,8301
its good,True,0,6665
Great game when i play sigma i here voices in my head and when i play ramatra EVERY ONE SUFFERS AS I HAVE.,True,0,8552
"had one bad match

never wanna play again",False,1,1828
This game is well optimized but jesus christ is it extremely unfun,False,1,12
worst game ive ever played wont ever be playing again,False,1,7375
fun,True,0,1353
Very bad quality of life and skins that are all worse than the default models because of zero colour coordination with the effects despite being their only monetisation strategy and already somewhat overpriced they cannot be asked to just change a few colour values to make them not actively ugly unless you pay like 40 dollars for some pretty neon slop.,False,1,20245
Only masochists play this ♥♥♥♥♥♥♥ game do not install thsi if you value ur sanity,True,0,3319
Dont play this game,False,1,3885
its ♥♥♥♥ game tbh,True,0,7154
"I'm actually impressed of how this game has survied throughout the years.
It's still worthy to play it nowadays.",True,0,5835
retarded teammates,False,0,6574
good game,True,0,1918
i found my fighting for life in this game was what ive been missing,True,0,1003
E,True,0,282
Holy Ass,False,0,10145
nerf genji,True,0,16072
i can never tell what's going on because of all the effects covering my screen and i have yet to have fun but at least i have a way to consistently spend time with my friends,False,1,20859
Not Good enough,True,0,11362
bro i need a job,True,0,1403
Would rather get 5 different STDs :),False,1,2095
ass game,True,0,1785
decent,True,0,352
good,True,0,4699
Is geil.,True,0,24396
dont play this game,True,0,14994
I play this game so much i hate it,True,0,6693
hi,True,0,15155
just slop gets worse every year ever since ow2 started,False,0,8158
No,False,0,29409
"Played for over 2k hours from 2016-2021. Came back and, it might not be what was promised to us. But what we got now aint half bad either.",True,0,5637
cheese,True,0,13251
No not really!!!!!!!!!,False,0,791
♥♥♥♥♥♥♥ it sucks,False,0,1161
le voy a mandar el gato ese a los de peta,False,0,3415
yes,True,0,15011
yes if you want to end up in a ditch crying after 50 hours of gameplay,True,1,3326
just stay away from anna she bites,True,0,24053
get 240 fps low settings medium quality overall its good except the occasional bad teamates,True,0,3406
fun,True,0,122114
Excellent game,True,0,9433
The finals is better,False,0,11373
Good game able to play with family,True,0,414
fun,True,0,1846
the game is class unless u solo queue,True,0,11383
"Great game, I've played many action shooters, this is different because most games require really good aim because that's all it takes. This game requires you to understand how to play as a team including as a tank and support characters. The characters are well designed for people to pick up and have so much fun.",True,0,6448
"Dont even bother to download this Dogshi*

why on green earth you would ask sms verification just to login seriously? not old account its new account creation.
to make matters worse the sms verification doesnt work at all or its regional for whatever reason

so simply i cant play the game after downloading 70gb, lol",False,0,64
Better then that marvel game!,True,0,8956
expensive,False,1,717
Marvel Rivals Is Better,False,1,1377
this game give me a raging boner i hate im gay and want a refund.,False,1,356
i like,True,0,33258
"Played the original Overwatch on console back in the day and hopped into OW2 on release. Honestly, going back to the roots and focusing on what made the game great in the first place did wonders for it.

A few things that stand out:

[b]Performance is insane:[/b] It runs buttery smooth. Honestly runs better than almost any other shooter out there right now.

[b]The gameplay feels super clean:[/b] The movement and shooting just click right away.

[b]Huge variety:[/b] Almost every hero feels completely different to play, so no matter your playstyle, you’ll definitely find someone that suits you.

It had its rough patches, but right now it’s just genuinely fun again. Definitely worth playing.",True,0,308
very good,True,0,5314
"Just shut this game down; don't release it. I was in the middle of a match when I suddenly lost the server connection, and then—out of nowhere—I got suspended. What a stupid game.",False,2,850
Heals,False,0,18282
GG no heals,False,0,12908
Deadgame in sea,False,0,1936
"Only in overwatch can you be hyper focused down because you clicked on the character everyone in the community has deemed scummy and then get ♥♥♥♥ talked by your own team for not playing well all in the comfort of a casual quick play game. Then when your done be asked to pay over $200 for skins that are ""on sale"" from $1000. Everyone should play this game if not simply to run up server costs.",True,0,14936
"Actually, I have over 250+ hours, but I play on console, and I can say that ranked before Plat is basically a playground so only play ranked once you’ve actually learned how to play if you don’t want to lose your mind with genjis who blame only on the supports, then ult into the entire enemy team the next round like it’s going to make them immortal, and quit because they died. (True story, told by my Silver friends.)",True,0,1715
"Nice game, you just need to have good team mates",True,0,11717
"The best-ever multiplayer game is back and better than ever!

No, I'm not talking about Overwatch 2--I'm talking about the legendary [i]Heroes of the Storm[/i].
The community for that game has persisted through so much, the iconic 6.5/10 IGN review, constant shade from the more established MOBA fanbases, and nearly 6 years of only getting minor bugfixes and small balance patches. When Blizzard announced Esports were cancelled and that HotS was going into maintainance mode just as it seemed the game was really popping off, I was gutted. Thousands of hours of awesome collaboration and competition with my friends, and Blizzard seemed to just abandon the game. How often do you see someone with thousands of hours in a MOBA singing its praises? It's mostly just doomposting from those communities. Anyways, I continued to play the game every once in a while, and it was always a good time, but it doesn't mean it didn't hurt to see Blizzard's gigantic franchises like WoW and Overwatch get all the attention, when HotS, despite its success, just didn't seem to be big enough for Blizzard.

Even before maintainance mode, I always sort of had the feeling that a lot of the heart and soul of Blizzard had been dwindling, but HotS was the sparkle of hope in my mind--the updates always felt so full of passion and love for the rich history and iconic experiences that Blizzard is known for. When they seemingly abandoned the game, I thought all hope was lost. The company I once knew and loved was gone, replaced with a soulless husk that delivers nothing but more mediocre-at-best expansions for WoW, the mostly maligned-by-the-community Overwatch 2, and scandals about the frat-bro SA culture at the company. I put Blizzard behind me, thinking all was lost. 

But come Blizzcon 2026, I could tell something was different. I don't know what it was, but I decided to tune in for the first time in many, many years. I didn't have high hopes for Heroes of the Storm content, but I guess I just decided to watch anyways, at the very least for the other announcements. And boy I'm glad I did. Blizzard, for some unknown reason, decided to START THE SHOW WITH A NEW HERO ANNOUNCEMENT FOR HOTS. Somehow, despite the odds, the man the community dubbed ""The Janitor"" had managed to assemble a team to bring some real honest-to-god new content to the game after all this time. James Yen, as he turned out to be, seems pretty optimistic about HotS being sustainable in the future too, so we'll probably be getting more content in the near future.

On top of some other exciting announcements for WoW, Diablo, and Starcraft, this new announcement rekindled my hope for the company--if Blizzard saw value in reviving this ""dead game"", then anything was possible. I'm cautiously optimistic for the time being, but it feels like Blizzard is finally back on a good track again after having their reputation dragged through the mud. The result of all this is that I ended up purchasing a few things from Blizzard, something I haven't done in years, and I also downloaded and tried Overwatch, having not played since around when Doomfist was released. Honestly--this game is in a wayyyyy better state than it used to be in. The skins are way overpriced, but whatever. The game is fun. I've been having a good time so far.

If you're a fan of Overwatch, but feeling like you've played too much of this game, or just wanna branch out, I encourage you to get the Battle.net launcher and play some Heroes of the Storm. MOBAs can be a pretty intimidating genre, but Heroes of the Storm is by far the best for newcomers--no item shop, short-and-sweet 20-minute matches, and a hero pool which is much easier to familiarize yourself with due to most of them being characters from existing Blizzard properties. It's a great time, and lots of new players are starting now due to the hype, so there hasn't been a better time to start your journey in a long while. 

I hope you have fun, and I'll see you in the Nexus :)",True,1,1863
"It's a money grab, the balancing is so hot garbage, the company is garbage, the community just gets more toxic everyday. The matchmaking my god it's more fun to have teeth pulled. I play because my friends like it but if you don't have people to play with don't even bother touching this trash",False,0,23698
"Overwatch is the greatest game out there, combining fast-paced action, incredible character design, strategic teamwork, and endless replayability into one unforgettable experience. Every hero brings something completely different to the battlefield, making every match feel unique and giving players countless ways to play. From perfectly timed ultimates to insane clutch plays, Overwatch constantly creates those moments that make you want to keep coming back. The game’s amazing visuals, satisfying mechanics, competitive intensity, and huge variety of heroes make it more than just a game—it’s an experience that has earned its place as the greatest game ever made.",True,0,273
YES,True,0,272
there is no better place on earth to meet israeli furries!,True,0,744
good,True,0,195
giood,True,0,577
fun team game.,True,0,3088
