review,recommended,helpful_or_not,playtime_at_review
"Although I'm not recommending it, this is an interesting concept of a game. If you are very adept at base builders and love to micromanage, this would be a game for you.

HOWEVER;
Don't go into it thinking it'll be a cosy 'sit back and watch them work' type of game because the difficulty ramping is not balanced. 
There are still bugs that mean your colonists are perpetually sad. And it doesn't make it easy to find what they were sad about to begin with.
Security detail is near useless
Shelves cost the same resources as an oxygen scrubber

And it's not like any of these bugs will be patched as it got stuck in dev limbo when the original indie-devs dropped it. And now even their website can't be reached so the fabled 'Patch' I've heard of can't even help.

TLDR: Could have been good, but no point in buying it.",False,1,1075
This could have been so good :(,False,0,248
"Amount of Double Fine games purchased since they ""released"" this pile of steaming poop: 0
12 years and counting.

Now they've gone independent and want people to pay to vote for their next game. Guess what they'll do. Create another terrible buggy diarrhea bag and call it finished, just like this one. 

I swore I'd never give these scumbags another penny. I have no regrets.",False,14,284
"apparently there is a fan mod, that fixes the game (So if you are interested, you should look into that), but aside from that this game is just plain unfinished.
So unless that mod really holds up that promise, I would suggest to ignore this game, for official support has long been abandoned.",False,12,285
"They shat the bed with this one. Abandoned and incomplete. So much promise - which made the choice to bail on this all the more disappointing. This could have been a really great game - but it's nowhere near ready and was dumped on the store as a finished product rather than scrapped as it should have been (presumably to avoid needing to give refunds).

The good news is you can pick up Space Haven and it will go quite some way to scratching the itch DF-9 should have.",False,8,591
Abandonware. Don't trust the dev anymore.,False,18,307
"Scam. They took people's money and abandoned the game. I won't ever buy another double fine game, and neither should you.",False,18,286
"I bought this in 2013 and played it a bit then. It looked like it could be something, but I guess a few years later (2015) they killed off the game. The good news is they released the source code and the community fixed the bugs and have been patching it. It appears the last patch and final to be coming out was released a year ago (early 2023). 

It is sad to see this go like it did since this could've been a lot more. But at least we got the source code and the community could fix the game and bring it to a point worth while. 
I can never recommend a game like this where they killed it off in such a way it literally caused Steam to change it's policy on EA games on them not using this as their only source of income. And even more, them charging you $10 for others (the community) doing 90% of the work fixing and you having to jump through massive hoops to find the fix and install it. I mean one of the people from the community worked on the patches for almost 10 years for free.",False,8,522
its just a bad city builder with no mod support,False,2,6226
It's super disappointing to still see Doublefine listing this game for sale 10 years later. The VERY least they could do is make this free as it was incomplete and broken at launch then abandoned by the company. The fact that a community patch is required to make it playable but their happy to keep clipping the ticket for sales is an embarrassment.,False,32,389
"Way too many bugs, and I'm not talking about the ones in the game, the link to a community patch by one of the reviewers is to a https site that a lot of browsers will pop up a warning to.... but the link is old anyway and even if you go there there is no patch or anything else there.

Don't pay more than $5 for the game, expect issues to end any game you play not being defeated or winning... the developers wont fix it.",False,3,9404
"The is Funded but we spend youre funds into another game we had to made, and hoped it will payback, but it didnt so youre screwed, as we used youre funds and wont develope anything for it anymore, Game! Great Example of shady scummy devs, Tim Schafer can be so proud of his company!",False,4,142
Half finished abandon-ware,False,12,224
Scambase,False,1,912
Feels unfinished,False,0,704
"It was promising but got abandoned pretty fast.
Shame on those who made that game be the failure that it is.",False,9,158
